30	7
30	5
30	5
30	4
30	8
30	6
30	6
30	7
30	5
30	8
30	6
30	6
30	5
30	7
30	5
30	6
30	6
30	6
30	8
30	8
30	6
30	7
30	7
30	8
30	7
30	6
30	7
30	5
30	6
30	6
40	12
40	13
40	12
40	15
40	15
40	11
40	14
40	11
40	13
40	15
40	15
40	16
40	12
40	14
40	10
40	16
40	12
40	11
40	11
40	10
40	11
40	10
40	11
40	18
40	8
40	17
40	11
40	10
40	17
40	12
50	35
50	25
50	31
50	20
50	24
50	29
50	21
50	34
50	27
50	34
50	39
50	20
50	34
50	26
50	28
50	31
50	33
50	33
50	21
50	38
50	26
50	26
50	36
50	37
50	28
50	33
50	27
50	30
50	34
50	25
60	54
60	43
60	53
60	59
60	82
60	55
60	73
60	64
60	90
60	49
60	51
60	49
60	56
60	35
60	56
60	69
60	60
60	91
60	91
60	101
60	83
60	71
60	64
60	69
60	103
60	69
60	66
60	52
60	79
60	76
70	321
70	274
70	258
70	127
70	372
70	188
70	283
70	204
70	144
70	251
70	245
70	151
70	160
70	181
70	228
70	322
70	231
70	269
70	338
70	157
70	218
70	192
70	134
70	234
70	107
70	249
70	316
70	150
70	205
70	170
80	1015
80	481
80	647
80	574
80	501
80	607
80	1377
80	534
80	867
80	976
80	505
80	203
80	834
80	415
80	790
80	266
80	803
80	731
80	673
80	1379
80	625
80	924
80	523
80	579
80	914
80	666
80	497
80	806
80	532
80	934
90	4342
90	1140
90	1534
90	1463
90	1773
90	1798
90	984
90	2319
90	3111
90	1603
90	2570
90	1910
90	1979
90	2186
90	1965
90	1693
90	1815
90	1688
90	442
90	1385
90	1752
90	1283
90	1542
90	2173
90	1706
90	1219
90	2092
90	2293
90	1266
90	3133
100	7543
100	4688
100	9689
100	7951
100	4975
100	11947
100	4051
100	3851
100	4314
100	6782
100	5703
100	10681
100	6159
100	6716
100	8210
100	7955
100	10989
100	5748
100	2346
100	6489
100	7789
100	6951
100	3519
100	8404
100	6283
100	6375
100	2489
100	7037
100	7798
100	3129
110	31653
110	10894
110	24631
110	22451
110	24635
110	30910
110	22447
110	18577
110	14038
110	20445
110	16959
110	12643
110	14632
110	17077
110	10890
110	8154
110	17225
110	13069
110	21876
110	22803
110	16059
110	22165
110	5022
110	17570
110	19438
110	17508
110	16121
110	9791
110	30619
110	17571
120	82702
120	68306
